label,style,room,url
bed,Modern,Bedroom,https://www.ikea.com/us/en/p/malm-bed-frame-high-black-brown-luroey-s69009475/
bed,Modern,Bedroom,https://www.ikea.com/us/en/p/brimnes-bed-frame-with-storage-headboard-black-luroey-s79129608/
bed,Colorful,Bedroom,https://www.ikea.com/us/en/p/slaekt-bed-frame-w-pull-out-bed-storage-white-s19239450/
bed,Colorful,Bedroom,https://www.overstock.com/Home-Garden/Casso-Contemporary-Antique-Oak-Platform-Storage-Bed-by-FOA/18214839/product.html?refccid=SMUL7HUYB6I24P2DSVKUKJOCO4&searchidx=0&guid=3c166feb-ee9d-4a5a-8c58-b051285bf2a3&osp=true&kwds=&rfmt=
chair,Modern,Bedroom,https://www.ikea.com/us/en/p/teodores-chair-white-30486156/
chair,Modern,Bedroom,https://www.ikea.com/us/en/p/lisabo-chair-ash-00457235/
chair,Colorful,Bedroom,https://www.overstock.com/Home-Garden/Chair-and-Ottoman-Accent-Chairs-for-Bedroom-Modern-Colourful-and-Patchwork-Reading-Chair-with-Solid-Wood-Legs/35925459/product.html?refccid=7QUKBSLDTY72USSEEF2G2A7QCY&searchidx=1&guid=eea744e5-d799-4509-ad6f-91fcfb441d8c&osp=true&kwds=colourful+chair&rfmt=&option=69322757
chair,Colorful,Bedroom,https://www.overstock.com/Home-Garden/Designart-Marbled-Liquid-Agate-Colours-Upholstered-Modern-Accent-Chair/30360455/product.html?refccid=7QUKBSLDTY72USSEEF2G2A7QCY&searchidx=12&kwds=colourful%20chair&rfmt=
couch,Modern,Bedroom,https://www.ikea.com/us/en/p/hemnes-daybed-frame-with-3-drawers-black-brown-60421446/
couch,Modern,Bedroom,https://www.ikea.com/us/en/p/hemnes-daybed-frame-with-3-drawers-gray-20472701/
couch,Colorful,Bedroom,https://www.amazon.com/Opoiar-Mattress-Included-Comfortable-Apartment/dp/B0BC86SY84/ref=sr_1_9?qid=1671214995&s=furniture&sr=1-9&th=1
couch,Colorful,Bedroom,https://www.amazon.com/Vonanda-Folding-Sleeper-Upholstered-Convertible/dp/B07ZT6JHHX/ref=sr_1_18?qid=1671214995&s=furniture&sr=1-18&th=1
table,Modern,Bedroom,https://www.ikea.com/nl/en/p/vangsta-extendable-table-black-dark-brown-10420152/
table,Modern,Bedroom,https://www.ikea.com/nl/en/p/pinntorp-table-light-brown-stained-white-stained-30529467/
table,Colorful,Bedroom,https://www.amazon.com/danpinera-Waterproof-Removable-Bedroom-Balcony/dp/B0978PC7CF/ref=cs_sr_dp_2?crid=1NAGJ2LFF4G5V&keywords=colourful%2Btable%2Bfor%2Bbedroom&qid=1671215314&sprefix=colourful%2Btbale%2Bfor%2Bbedroo%2Caps%2C701&sr=8-9&th=1
table,Colorful,Bedroom,https://www.amazon.com/Rerii-Composite-Standing-Organizer-Bookshelf/dp/B07D321981/ref=sr_1_18?crid=1NAGJ2LFF4G5V&keywords=colourful%2Btable%2Bfor%2Bbedroom&qid=1671215366&sprefix=colourful%2Btbale%2Bfor%2Bbedroo%2Caps%2C701&sr=8-18&th=1
chair,Modern,Living Room,https://www.ikea.com/us/en/p/teodores-chair-white-30486156/
chair,Modern,Living Room,https://www.ikea.com/us/en/p/lisabo-chair-ash-00457235/
chair,Colorful,Living Room,https://www.overstock.com/Home-Garden/Designart-Marbled-Detail-Of-Colourful-Rock-Upholstered-Mid-Century-Accent-Chair/30360453/product.html?refccid=RHSBTY6DO4BYSNCKX3QXRQHTLM&searchidx=5&kwds=colourful%20chair%20for%20living%20room&rfmt=
